iid (0),id (1),gender (2),idg (3),condtn (4),wave (5),round (6),position (7),order (8),partner (9),pid (10),samerace (11),age_o (12),race_o (13),pf_o_att (14),pf_o_sin (15),pf_o_int (16),pf_o_fun (17),pf_o_amb (18),pf_o_sha (19),dec_o (20),attr_o (21),sinc_o (22),intel_o (23),fun_o (24),like_o,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,dec,match
414,18,1,36,2,15,18,15,4,14,392,1,26,2,15,20,15,30,10,10,0,6,6,7,3,4,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,0
414,18,1,36,2,15,18,9,16,10,388,1,24,2,22,17,15,15,15,16,0,6,8,7,6,5,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,0
414,18,1,36,2,15,18,14,3,8,386,1,26,2,15,10,30,10,15,20,0,7,6,6,6,5,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,0
414,18,1,36,2,15,18,2,9,11,389,1,21,2,20,30,20,20,0,10,0,8,10,10,6,6,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,0
414,18,1,36,2,15,18,7,14,1,379,1,38,2,15,15,20,15,15,20,0,6,6,9,6,6,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,0
414,18,1,36,2,15,18,11,18,17,395,1,33,2,20,20,20,10,10,20,0,7,8,8,7,7,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,0
414,18,1,36,2,15,18,10,17,13,391,1,28,2,35,0,35,10,10,10,0,6,6,6,6,5,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,0
414,18,1,36,2,15,18,1,8,16,394,1,24,2,18,19,16,15,15,17,0,4,6,7,5,3,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,0
414,18,1,36,2,15,18,3,10,15,393,1,22,2,8,20,25,25,12,10,1,7,7,7,6,6,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,1
414,18,1,36,2,15,18,13,2,9,387,1,25,2,20,15,25,15,15,10,1,7,8,9,9,7,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,1
414,18,1,36,2,15,18,17,6,4,382,1,28,2,25,25,25,10,10,5,1,7,8,8,7,6,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,1
414,18,1,36,2,15,18,16,5,6,384,1,23,2,20,20,20,20,20,0,1,9,8,9,7,8,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,1
414,18,1,36,2,15,18,12,1,7,385,1,25,2,25,20,20,20,10,5,1,7,9,9,7,7,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,1
414,18,1,36,2,15,18,5,12,3,381,1,24,2,20,10,20,35,5,10,1,7,8,6,6,7,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,1
414,18,1,36,2,15,18,6,13,18,396,0,25,4,15,18,18,18,15,16,1,5,9,9,6,7,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,1,1
